category_l1,price_band,cart_date,carted_items,abandoned_items
accessories,1,2019-10-01,6,5
appliances,1,2019-10-01,85,51
appliances,2,2019-10-01,165,80
appliances,3,2019-10-01,75,45
appliances,4,2019-10-01,31,18
auto,1,2019-10-01,19,11
auto,2,2019-10-01,71,48
auto,3,2019-10-01,6,3
auto,4,2019-10-01,5,2
computers,1,2019-10-01,25,13
computers,2,2019-10-01,34,23
computers,3,2019-10-01,26,18
computers,4,2019-10-01,37,20
construction,1,2019-10-01,27,16
construction,2,2019-10-01,51,28
construction,3,2019-10-01,6,3
construction,4,2019-10-01,4,3
country_yard,1,2019-10-01,1,1
electronics,1,2019-10-01,278,169
electronics,2,2019-10-01,1626,661
electronics,3,2019-10-01,3581,1553
electronics,4,2019-10-01,3707,1589
furniture,1,2019-10-01,1,1
furniture,2,2019-10-01,7,4
furniture,3,2019-10-01,4,2
kids,2,2019-10-01,1,1
kids,3,2019-10-01,10,6
kids,4,2019-10-01,9,7
stationery,1,2019-10-01,1,0
unknown,1,2019-10-01,18,13
unknown,2,2019-10-01,478,308
unknown,3,2019-10-01,340,236
unknown,4,2019-10-01,150,96
accessories,1,2019-10-02,4,3
appliances,1,2019-10-02,100,62
appliances,2,2019-10-02,167,93
appliances,3,2019-10-02,94,55
appliances,4,2019-10-02,48,25
auto,1,2019-10-02,26,14
auto,2,2019-10-02,72,36
auto,3,2019-10-02,9,6
auto,4,2019-10-02,3,1
computers,1,2019-10-02,21,15
computers,2,2019-10-02,42,23
computers,3,2019-10-02,61,33
computers,4,2019-10-02,48,26
construction,1,2019-10-02,49,23
construction,2,2019-10-02,80,46
construction,3,2019-10-02,5,4
construction,4,2019-10-02,1,0
electronics,1,2019-10-02,288,182
electronics,2,2019-10-02,1671,693
electronics,3,2019-10-02,3741,1628
electronics,4,2019-10-02,3843,1650
furniture,1,2019-10-02,3,1
furniture,2,2019-10-02,5,3
furniture,3,2019-10-02,3,3
kids,2,2019-10-02,1,0
kids,3,2019-10-02,12,5
kids,4,2019-10-02,12,7
sport,2,2019-10-02,1,0
sport,3,2019-10-02,1,1
unknown,1,2019-10-02,24,17
unknown,2,2019-10-02,472,277
