category_l1,price_band,week_start,carted_items,purchased_items,abandoned_items,abandonment_rate,is_black_friday_week
accessories,1,2019-09-30,56,16,40,0.7142857142857143,false
accessories,2,2019-09-30,14,6,8,0.5714285714285714,false
accessories,3,2019-09-30,2,2,0,0.0,false
appliances,1,2019-09-30,1649,570,1079,0.6543359611885992,false
appliances,2,2019-09-30,3034,1311,1723,0.5678971654581411,false
appliances,3,2019-09-30,2380,1042,1338,0.5621848739495798,false
appliances,4,2019-09-30,952,381,571,0.5997899159663865,false
auto,1,2019-09-30,310,102,208,0.6709677419354839,false
auto,2,2019-09-30,744,327,417,0.5604838709677419,false
auto,3,2019-09-30,85,37,48,0.5647058823529412,false
auto,4,2019-09-30,21,9,12,0.5714285714285714,false
computers,1,2019-09-30,363,101,262,0.721763085399449,false
computers,2,2019-09-30,535,202,333,0.6224299065420561,false
computers,3,2019-09-30,1972,798,1174,0.5953346855983773,false
computers,4,2019-09-30,1543,603,940,0.609202851587816,false
construction,1,2019-09-30,217,91,126,0.5806451612903226,false
construction,2,2019-09-30,349,144,205,0.5873925501432665,false
construction,3,2019-09-30,59,23,36,0.6101694915254238,false
construction,4,2019-09-30,16,5,11,0.6875,false
country_yard,1,2019-09-30,7,3,4,0.5714285714285714,false
country_yard,2,2019-09-30,1,0,1,1.0,false
electronics,1,2019-09-30,2926,1022,1904,0.6507177033492823,false
electronics,2,2019-09-30,14761,8124,6637,0.44963078382223426,false
electronics,3,2019-09-30,32935,17123,15812,0.4800971610748444,false
electronics,4,2019-09-30,33479,16872,16607,0.4960422951701066,false
furniture,1,2019-09-30,11,5,6,0.5454545454545454,false
furniture,2,2019-09-30,45,14,31,0.6888888888888889,false
furniture,3,2019-09-30,9,2,7,0.7777777777777778,false
kids,1,2019-09-30,3,1,2,0.6666666666666666,false
kids,2,2019-09-30,30,8,22,0.7333333333333333,false
kids,3,2019-09-30,70,33,37,0.5285714285714286,false
kids,4,2019-09-30,118,33,85,0.7203389830508474,false
sport,1,2019-09-30,40,9,31,0.775,false
