session_date,category_l1,sessions,carted_sessions,purchased_sessions,cart_rate,purchase_rate,is_black_friday_week
2019-10-01,accessories,2457,47,42,0.01912901912901913,0.017094017094017096,false
2019-10-01,apparel,9406,152,152,0.01615989793748671,0.01615989793748671,false
2019-10-01,appliances,29614,1906,1725,0.0643614506652259,0.058249476598905926,false
2019-10-01,auto,7484,276,212,0.03687867450561197,0.028327097808658473,false
2019-10-01,computers,15418,774,702,0.05020106369178882,0.045531197301854974,false
2019-10-01,construction,5755,265,219,0.046046915725456126,0.03805386620330148,false
2019-10-01,country_yard,240,5,4,0.020833333333333332,0.016666666666666666,false
2019-10-01,electronics,124504,13136,9607,0.10550665038874253,0.07716217952836857,false
2019-10-01,furniture,9095,194,187,0.021330401319406268,0.020560747663551402,false
2019-10-01,kids,4566,151,137,0.033070521243977226,0.030004380201489267,false
2019-10-01,medicine,177,11,11,0.062146892655367235,0.062146892655367235,false
2019-10-01,sport,1914,27,27,0.014106583072100314,0.014106583072100314,false
2019-10-01,stationery,78,3,3,0.038461538461538464,0.038461538461538464,false
2019-10-01,unknown,98192,4258,3612,0.04336402150888056,0.036785074140459506,false
2019-10-02,accessories,2087,43,41,0.020603737422137038,0.01964542405366555,false
2019-10-02,apparel,8637,154,154,0.017830265138358226,0.017830265138358226,false
2019-10-02,appliances,29125,1936,1718,0.06647210300429185,0.058987124463519315,false
2019-10-02,auto,7129,249,195,0.03492775985411699,0.02735306494599523,false
2019-10-02,computers,14967,728,636,0.04864034208592236,0.04249348566847064,false
2019-10-02,construction,5321,284,219,0.05337342604773539,0.041157677128359334,false
2019-10-02,country_yard,186,3,3,0.016129032258064516,0.016129032258064516,false
2019-10-02,electronics,123488,13518,9839,0.10946812645763151,0.0796757579683856,false
2019-10-02,furniture,7968,194,187,0.024347389558232933,0.023468875502008033,false
2019-10-02,kids,4329,194,183,0.044814044814044815,0.04227304227304227,false
2019-10-02,medicine,136,10,10,0.07352941176470588,0.07352941176470588,false
2019-10-02,sport,1765,22,22,0.012464589235127478,0.012464589235127478,false
2019-10-02,stationery,88,1,1,0.011363636363636364,0.011363636363636364,false
2019-10-02,unknown,92403,4120,3565,0.04458729694923325,0.038580998452431195,false
2019-10-03,accessories,1657,46,43,0.02776101388050694,0.02595051297525649,false
2019-10-03,apparel,7115,115,115,0.016163035839775124,0.016163035839775124,false
2019-10-03,appliances,26676,1829,1597,0.06856350277402909,0.05986654670865197,false
2019-10-03,auto,6661,284,210,0.04263624080468398,0.0315267977781114,false
2019-10-03,computers,14167,778,655,0.05491635490929625,0.0462342062539705,false
2019-10-03,construction,4619,226,174,0.04892833946741719,0.03767049144836545,false
2019-10-03,country_yard,169,6,4,0.03550295857988166,0.023668639053254437,false
2019-10-03,electronics,119109,13928,9773,0.11693490836124894,0.0820508945587655,false
2019-10-03,furniture,7092,167,162,0.023547659334461363,0.02284263959390863,false
2019-10-03,kids,4111,161,150,0.03916322062758453,0.03648747263439552,false
2019-10-03,medicine,104,7,7,0.0673076923076923,0.0673076923076923,false
2019-10-03,sport,1568,32,32,0.02040816326530612,0.02040816326530612,false
2019-10-03,stationery,64,3,2,0.046875,0.03125,false
2019-10-03,unknown,82133,4237,3601,0.05158706001241888,0.043843522092216286,false
2019-10-04,accessories,1855,45,36,0.02425876010781671,0.01940700808625337,false
2019-10-04,apparel,7275,117,117,0.016082474226804123,0.016082474226804123,false
2019-10-04,appliances,39911,4147,2607,0.10390619127558819,0.06532033775149708,false
2019-10-04,auto,12869,761,587,0.059134353873649854,0.04561348978164582,false
2019-10-04,computers,18224,1893,1014,0.10387401229148376,0.05564091308165057,false
2019-10-04,construction,4714,255,194,0.054094187526516756,0.041154009333899025,false
2019-10-04,country_yard,136,2,1,0.014705882352941176,0.007352941176470588,false
2019-10-04,electronics,143794,23018,13222,0.16007622014826767,0.09195098543750087,false
2019-10-04,furniture,7002,184,179,0.026278206226792344,0.025564124535846902,false
2019-10-04,kids,4568,224,183,0.04903677758318739,0.04006129597197899,false
2019-10-04,medicine,106,5,5,0.04716981132075472,0.04716981132075472,false
2019-10-04,sport,2053,52,35,0.025328787140769606,0.017048222113979543,false
2019-10-04,stationery,54,2,0,0.037037037037037035,0.0,false
2019-10-04,unknown,105025,7122,5303,0.0678124256129493,0.05049273982385146,false
2019-10-05,accessories,1919,44,25,0.022928608650338717,0.013027618551328817,false
2019-10-05,apparel,7450,127,127,0.017046979865771812,0.017046979865771812,false
2019-10-05,appliances,34245,3265,2191,0.09534238574974449,0.06398014308658198,false
2019-10-05,auto,12119,626,460,0.051654426932915255,0.03795692713920291,false
2019-10-05,computers,15931,1548,867,0.0971690414914318,0.054422195719038356,false
2019-10-05,construction,4086,221,156,0.05408712677435144,0.0381791483113069,false
2019-10-05,country_yard,126,2,2,0.015873015873015872,0.015873015873015872,false
2019-10-05,electronics,128637,18703,11162,0.1453936270279935,0.08677130219143792,false
2019-10-05,furniture,7668,202,193,0.02634324465310381,0.025169535732916016,false
2019-10-05,kids,4277,200,164,0.04676174888940846,0.03834463408931494,false
2019-10-05,medicine,80,3,3,0.0375,0.0375,false
2019-10-05,sport,1758,49,35,0.027872582480091012,0.019908987485779295,false
2019-10-05,stationery,88,3,2,0.03409090909090909,0.022727272727272728,false
2019-10-05,unknown,100385,6058,4704,0.06034766150321263,0.046859590576281314,false
2019-10-06,accessories,2015,47,39,0.023325062034739455,0.01935483870967742,false
