session_date,sessions,carted_sessions,purchased_sessions
2019-10-01,268737,20803,16259
2019-10-02,260229,21075,16417
2019-10-03,239905,21396,16159
2019-10-04,299357,37028,22943
2019-10-05,275608,30436,19645
2019-10-06,271638,28350,18831
2019-10-07,261891,22695,18045
2019-10-08,306808,24537,19587
2019-10-09,299698,24097,19310
2019-10-10,293583,23833,18651
2019-10-11,331807,28146,22189
2019-10-12,302895,27276,21611
2019-10-13,332001,32155,25205
2019-10-14,306159,38546,24147
2019-10-15,333204,40395,22397
2019-10-16,327481,40376,26503
2019-10-17,301783,36243,24060
2019-10-18,333916,34177,21677
2019-10-19,320301,33626,20897
2019-10-20,338750,34045,21271
2019-10-21,320004,32863,21426
2019-10-22,315304,32664,21281
2019-10-23,309063,32601,20975
2019-10-24,292165,31269,20293
2019-10-25,316739,32398,20301
2019-10-26,288270,30617,19351
2019-10-27,288542,30218,19859
2019-10-28,279598,22678,17914
2019-10-29,275332,22035,17347
2019-10-30,273578,22266,17704
2019-10-31,280075,21984,17317
2019-11-01,319560,24682,19215
2019-11-02,337421,24413,18820
2019-11-03,342063,24995,19170
2019-11-04,395330,29968,23337
2019-11-05,374984,27212,21392
2019-11-06,365876,27306,21546
2019-11-07,394729,27300,21396
2019-11-08,442955,47189,22092
2019-11-09,408936,43386,19599
2019-11-10,416044,44012,19774
2019-11-11,461628,46644,21284
2019-11-12,452159,43695,19328
2019-11-13,457577,44204,19136
2019-11-14,560057,89975,18683
2019-11-15,763850,255593,1
2019-11-16,991666,236114,56664
2019-11-17,975190,248364,151472
2019-11-18,501558,51026,24013
2019-11-19,440694,44012,21050
2019-11-20,440782,43493,21151
2019-11-21,433780,44409,21398
2019-11-22,378929,41923,20451
2019-11-23,370378,38561,18683
2019-11-24,355541,39744,19571
2019-11-25,393404,42723,21001
2019-11-26,384139,43662,20416
2019-11-27,384301,43373,20627
2019-11-28,389663,43637,20539
2019-11-29,448931,57101,27552
2019-11-30,390104,49426,23825
