event_date,events,views,carts,purchases
2019-11-08,1893950,1793283,74953,25714
2019-11-09,1875586,1784963,67856,22767
2019-11-10,1938354,1846063,69413,22878
2019-11-11,2006897,1909244,72723,24930
2019-11-12,1985382,1895060,67597,22725
2019-11-13,2016711,1924916,69247,22548
2019-11-14,3064736,2877071,165541,22124
2019-11-15,6205340,5737078,468262,0
2019-11-16,6488924,6027799,392878,68247
2019-11-17,6379921,5783122,411604,185195
2019-11-18,2018957,1909738,80682,28537
2019-11-19,1726197,1630977,70253,24967
2019-11-20,1697436,1602680,69809,24947
2019-11-21,1674077,1576425,72386,25266
2019-11-22,1565866,1473785,67894,24187
