category_l1,black_friday_rate,baseline_rate,diff,ci_low,ci_high,black_friday_n,baseline_n
medicine,0.05954631379962193,0.04502012072434608,0.014526193075275848,-0.001122388922230471,0.030174775072782167,1058,3976
electronics,0.07267736181955416,0.06774592736207917,0.004931434457474987,0.004374127849541922,0.0054887410654080515,1040035,3935410
appliances,0.05027764365041043,0.046445851077016376,0.003831792573394055,0.0029010547150855118,0.004762530431702598,265088,976169
accessories,0.021568019832661916,0.018678787124089408,0.0028892327085725082,4.1527404337071304E-4,0.005363191373774303,16135,64244
computers,0.03184521524459748,0.029032811647786646,0.0028124035968108314,0.0018724476457890934,0.0037523595478325695,169319,588541
construction,0.02951694827407484,0.027535603223382353,0.0019813450506924873,1.1579535286395585E-4,0.0038468947485210186,38588,163679
furniture,0.018404291943998164,0.016469629025682837,0.0019346629183153267,8.554712775528991E-4,0.0030138545590777544,69712,367950
apparel,0.01905053477784252,0.017140413062569106,0.0019101217152734142,9.84795014494517E-4,0.0028354484160523115,101257,439546
unknown,0.04069625846316566,0.039044223853201415,0.0016520346099642425,0.0011874769570663845,0.0021165922628621006,862266,3441559
sport,0.016477082636333223,0.016083170428292163,3.939122080410598E-4,-0.0021668457881375584,0.002954670204219678,11956,45016
kids,0.020746533341879793,0.020529263106331342,2.1727023554845085E-4,-0.0012310190939375048,0.0016655595650344065,46803,179646
auto,0.028211828702469202,0.028247689886145275,-3.5861183676072494E-5,-0.0015837213729909458,0.0015119990056388008,56253,201397
stationery,0.025376685170499604,0.035561005518087066,-0.010184320347587462,-0.02094246948887922,5.738287937042934E-4,1261,3262
