category_l1,price_band,carted_items,abandoned_items,abandonment_rate
accessories,1,1529,1028,0.6723348593852191
accessories,2,1074,642,0.5977653631284916
accessories,3,459,298,0.6492374727668845
accessories,4,351,237,0.6752136752136753
apparel,1,1146,845,0.7373472949389179
apparel,2,3480,2228,0.6402298850574712
apparel,3,10424,6645,0.6374712202609363
apparel,4,4796,3174,0.6618015012510425
appliances,1,51374,30045,0.5848289017791101
appliances,2,52257,28142,0.5385307231567062
appliances,3,44472,26019,0.5850647598488937
appliances,4,14143,8684,0.6140139998585873
auto,1,5369,3288,0.6124045446079345
auto,2,11252,6239,0.5544792036971206
auto,3,1449,867,0.598343685300207
auto,4,723,453,0.6265560165975104
computers,1,8443,5618,0.6654032926684827
computers,2,10056,6177,0.6142601431980907
computers,3,23328,12694,0.5441529492455418
computers,4,17492,10324,0.5902126686485251
construction,1,6772,4335,0.6401358535144713
construction,2,7295,4338,0.5946538725154216
construction,3,2799,1732,0.6187924258663808
construction,4,1172,818,0.6979522184300341
country_yard,1,65,38,0.5846153846153846
country_yard,2,12,9,0.75
country_yard,3,47,40,0.851063829787234
country_yard,4,2,1,0.5
electronics,1,44903,27747,0.6179319867269447
electronics,2,192731,87011,0.45146343867878025
electronics,3,380639,181195,0.4760284679184214
electronics,4,369527,173891,0.47057725145929796
furniture,1,3708,2470,0.6661272923408845
furniture,2,4685,2820,0.6019210245464247
furniture,3,2677,1697,0.6339185655584609
furniture,4,2152,1448,0.6728624535315985
kids,1,1682,1139,0.6771700356718192
kids,2,2147,1452,0.6762925011644154
kids,3,4872,2900,0.5952380952380952
kids,4,1667,1050,0.629874025194961
medicine,1,150,88,0.5866666666666667
medicine,2,293,173,0.590443686006826
medicine,3,322,203,0.6304347826086957
medicine,4,28,16,0.5714285714285714
sport,1,931,584,0.6272824919441461
sport,2,1106,735,0.6645569620253164
sport,3,332,228,0.6867469879518072
sport,4,286,206,0.7202797202797203
stationery,1,257,175,0.6809338521400778
stationery,2,112,83,0.7410714285714286
stationery,3,68,49,0.7205882352941176
stationery,4,1,1,1.0
unknown,1,27928,20025,0.7170223431681466
unknown,2,134002,86022,0.6419456426023492
unknown,3,146070,92549,0.6335934825768467
unknown,4,89940,52593,0.5847565043362242
