order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total,created_at
8,6,132,1,30.92,0.0,30.92,2026-09-24 01:17:15.490293
9,6,112,2,29.2,0.0,58.4,2026-09-24 01:17:15.490293
22,11,143,2,18.57,0.0,37.14,2026-09-24 01:17:15.490293
23,11,76,1,43.3,0.0,43.3,2026-09-24 01:17:15.490293
25,13,171,1,37.08,0.0,37.08,2026-09-24 01:17:15.490293
26,13,41,2,50.91,0.0,101.82,2026-09-24 01:17:15.490293
31,16,102,1,59.08,0.0,59.08,2026-09-24 01:17:15.490293
36,20,134,1,12.71,3.75,8.96,2026-09-24 01:17:15.490293
37,20,117,2,23.56,0.0,47.12,2026-09-24 01:17:15.490293
43,23,33,2,5.9,0.0,11.8,2026-09-24 01:17:15.490293
44,23,199,1,12.04,0.0,12.04,2026-09-24 01:17:15.490293
45,23,1,1,16.95,0.0,16.95,2026-09-24 01:17:15.490293
69,35,67,2,65.13,0.0,130.26,2026-09-24 01:17:15.490293
91,43,60,3,4.32,0.0,12.96,2026-09-24 01:17:15.490293
92,43,190,2,63.31,0.0,126.62,2026-09-24 01:17:15.490293
128,64,166,1,62.15,0.0,62.15,2026-09-24 01:17:15.490293
129,64,114,2,34.07,0.0,68.14,2026-09-24 01:17:15.490293
133,66,84,4,14.78,0.0,59.12,2026-09-24 01:17:15.490293
134,66,17,1,67.48,0.0,67.48,2026-09-24 01:17:15.490293
135,66,45,1,165.55,0.0,165.55,2026-09-24 01:17:15.490293
136,67,14,1,16.48,0.0,16.48,2026-09-24 01:17:15.490293
137,67,125,1,11.98,0.0,11.98,2026-09-24 01:17:15.490293
138,67,130,3,15.77,0.0,47.31,2026-09-24 01:17:15.490293
139,67,91,1,107.77,0.0,107.77,2026-09-24 01:17:15.490293
146,70,28,1,59.8,0.0,59.8,2026-09-24 01:17:15.490293
147,70,11,1,138.3,0.0,138.3,2026-09-24 01:17:15.490293
149,72,131,1,111.29,0.0,111.29,2026-09-24 01:17:15.490293
150,73,91,1,10.13,1.32,8.81,2026-09-24 01:17:15.490293
151,73,45,1,22.4,0.0,22.4,2026-09-24 01:17:15.490293
157,76,53,2,4.22,0.0,8.44,2026-09-24 01:17:15.490293
158,76,111,1,17.39,0.0,17.39,2026-09-24 01:17:15.490293
159,76,128,1,10.34,0.0,10.34,2026-09-24 01:17:15.490293
160,76,34,1,42.29,0.0,42.29,2026-09-24 01:17:15.490293
162,78,77,2,20.08,0.0,40.16,2026-09-24 01:17:15.490293
175,83,187,1,57.65,0.0,57.65,2026-09-24 01:17:15.490293
184,88,10,1,11.2,0.0,11.2,2026-09-24 01:17:15.490293
185,88,87,1,146.93,0.0,146.93,2026-09-24 01:17:15.490293
186,88,5,1,149.19,0.0,149.19,2026-09-24 01:17:15.490293
210,100,41,1,94.15,0.0,94.15,2026-09-24 01:17:15.490293
211,100,34,2,86.61,0.0,173.22,2026-09-24 01:17:15.490293
214,102,46,2,4.81,0.0,9.62,2026-09-24 01:17:15.490293
215,102,37,1,17.66,0.0,17.66,2026-09-24 01:17:15.490293
216,102,27,1,50.05,0.0,50.05,2026-09-24 01:17:15.490293
218,104,106,1,8.97,0.0,8.97,2026-09-24 01:17:15.490293
219,104,69,1,15.65,0.0,15.65,2026-09-24 01:17:15.490293
220,104,117,2,10.71,0.0,21.42,2026-09-24 01:17:15.490293
221,104,195,1,25.2,0.0,25.2,2026-09-24 01:17:15.490293
256,118,96,1,44.56,0.0,44.56,2026-09-24 01:17:15.490293
257,118,57,1,56.33,10.45,45.88,2026-09-24 01:17:15.490293
258,119,8,3,8.27,2.85,21.96,2026-09-24 01:17:15.490293
259,119,190,1,110.43,0.0,110.43,2026-09-24 01:17:15.490293
263,122,49,2,3.94,0.0,7.88,2026-09-24 01:17:15.490293
264,122,15,2,7.79,0.0,15.58,2026-09-24 01:17:15.490293
265,122,52,1,16.83,0.0,16.83,2026-09-24 01:17:15.490293
266,122,95,2,6.4,0.0,12.8,2026-09-24 01:17:15.490293
267,122,150,2,15.11,4.19,26.03,2026-09-24 01:17:15.490293
268,123,129,1,66.54,0.0,66.54,2026-09-24 01:17:15.490293
269,123,1,1,61.22,0.0,61.22,2026-09-24 01:17:15.490293
270,123,84,2,74.77,0.0,149.54,2026-09-24 01:17:15.490293
300,139,29,1,59.92,0.0,59.92,2026-09-24 01:17:15.490293
301,139,80,1,32.59,0.0,32.59,2026-09-24 01:17:15.490293
302,139,1,3,31.35,0.0,94.05,2026-09-24 01:17:15.490293
316,145,88,1,175.66,0.0,175.66,2026-09-24 01:17:15.490293
354,166,128,2,19.93,0.0,39.86,2026-09-24 01:17:15.490293
355,166,126,1,79.25,2.36,76.89,2026-09-24 01:17:15.490293
356,167,130,2,15.81,0.0,31.62,2026-09-24 01:17:15.490293
357,167,60,2,48.17,10.4,85.94,2026-09-24 01:17:15.490293
372,174,174,1,66.42,0.0,66.42,2026-09-24 01:17:15.490293
373,175,70,1,6.33,0.0,6.33,2026-09-24 01:17:15.490293
374,175,49,1,8.12,0.0,8.12,2026-09-24 01:17:15.490293
